"Page","Index","Src","Alt"
"project-air-force-academy","0","../images/air-force-academy-eagle-sculpture-installation-with-archway-letsuan-design.jpg","R.O.C. Air Force Academy 90th Founding Anniversary — Eagle sculpture installation with archway feature wall"
"project-air-force-academy","1","../images/air-force-academy-feature-wall-archway-with-eagle-sculptures-letsuan-design.jpg","Feature wall archway with eagle sculptures and timeline panel"
"project-air-force-academy","2","../images/air-force-academy-cockpit-simulator-interactive-exhibit-letsuan-design.jpg","Cockpit simulator interactive exhibit"
"project-air-force-academy","3","../images/air-force-academy-overhead-view-of-exhibition-zone-layout-letsuan-design.jpg","Overhead view of exhibition zone layout"
"project-air-force-academy","4","../images/air-force-academy-roc-air-force-academy-feature-wall-letsuan-design.jpg","R.O.C. Air Force Academy feature wall with orange lighting"
"project-air-force-academy","5","../images/air-force-academy-visitors-viewing-history-timeline-wall-letsuan-design.jpg","Visitors viewing history timeline wall"
"project-air-force-academy","6","../images/air-force-academy-eagle-sculptures-being-transported-to-site-letsuan-design.jpg","Eagle sculptures being transported to site"
"project-air-force-academy","7","../images/air-force-academy-construction-team-installing-archway-feature-letsuan-design.jpg","Construction team installing archway feature wall"
"project-amazing-homeland","0","../images/amazing-homeland-indigenous-garment-display-wall-with-hanging-letsuan-design.jpg","Amazing Homeland — Indigenous garment display wall with hanging textiles"
"project-amazing-homeland","1","../images/amazing-homeland-glass-display-corridor-with-archaeological-letsuan-design.jpg","Glass display corridor with archaeological artifacts"
"project-amazing-homeland","2","../images/amazing-homeland-wood-carving-and-textile-artifact-display-letsuan-design.jpg","Wood carving and textile artifact display shelves"
"project-amazing-homeland","3","../images/amazing-homeland-museum-corridor-woven-basket-displays-visitors-letsuan-design.jpg","Museum corridor with woven baskets and vessels on wall-mounted shelving, visitors viewing glass display cases and information panels"
"project-art-gallery-culture","0","../images/art-gallery-culture-ministry-of-culture-exhibition-ceiling-letsuan-design.jpg","See the Ministry of Culture — Ministry of Culture exhibition ceiling and wall detail"
"project-art-gallery-culture","1","../images/art-gallery-culture-curved-display-case-with-ceramic-artifacts-letsuan-design.jpg","Curved display case with ceramic artifacts and interactive panels"
"project-art-gallery-culture","2","../images/art-gallery-culture-publications-and-book-exhibition-folded-wall-letsuan-design.jpg","Publications and book exhibition folded wall panels"
"project-art-gallery-culture","3","../images/art-gallery-culture-literature-and-book-exhibition-wall-detail-letsuan-design.jpg","Literature and book exhibition wall detail"
"project-art-gallery-culture","4","../images/art-gallery-culture-digital-culture-interactive-display-wall-letsuan-design.jpg","Digital culture interactive display wall"
"project-art-gallery-culture","5","../images/art-gallery-culture-display-case-with-cultural-artifacts-letsuan-design.jpg","Display case with cultural artifacts and laptop station"
"project-art-gallery-culture","6","../images/art-gallery-culture-exhibition-hall-overview-with-wall-panels-letsuan-design.jpg","Exhibition hall overview with wall panels and display cases"
"project-asian-art-biennial","0","../images/asian-art-biennial-i-love-taiwan-zhuyin-entrance-sign-letsuan-design.jpg","The Lawn Needed More Protection Than the Artwork Did — Illuminated Zhuyin phonetic symbols spelling out 'I LOVE TAIWAN' at the National Taiwan Museum of Fine Arts entrance at night, part of the 2013 Asian Art Biennial"
"project-asian-art-biennial","1","../images/asian-art-biennial-02-letsuan-design.jpg","Illuminated Zhuyin phonetic symbols spelling 'I LOVE TAIWAN' on the museum lawn at night, with the National Taiwan Museum of Fine Arts building and 2013 Asian Art Biennial banner behind"
"project-asian-art-biennial","2","../images/asian-art-biennial-love-taiwan-led-light-installation-on-lawn-letsuan-design.jpg","Illuminated LED light installation spelling 'I Love Taiwan' in Zhuyin phonetic script on the lawn at night"
"project-asian-art-biennial","3","../images/asian-art-biennial-03-letsuan-design.jpg","Construction process: a worker hand-digs a shallow cable trench (left) while light-box materials are laid out on the lawn (right), avoiding heavy machinery to protect the grass"
"project-asian-art-biennial","4","../images/asian-art-biennial-04-letsuan-design.jpg","Steel post frames and coiled cabling for the light-box installations laid out on the museum lawn before assembly"
"project-beyond-just-an-exhibition","0","../images/beyond-exhibition-visitors-interacting-with-pulsating-valley-letsuan-design.jpg","Beyond Just an Exhibition–You Are Part of the Art! — Visitors interacting with Pulsating Valley floor projection among sunflowers"
"project-beyond-just-an-exhibition","1","../images/beyond-exhibition-sketch-flight-starry-sky-with-hand-drawn-letsuan-design.jpg","Sketch Flight starry sky with hand-drawn birds and airplanes"
"project-beyond-just-an-exhibition","2","../images/beyond-exhibition-visitors-photographing-immersive-floral-letsuan-design.jpg","Visitors photographing immersive floral projection walls"
